@context,@type,name,description,image,url
https://schema.org,Thing,trusts,"Reflects confidence or reliance on another entity’s integrity or actions.",https://em-content.zobj.net/source/apple/391/handshake_1f91d.png,
https://schema.org,Thing,follows,"Represents that one entity follows the updates or actions of another.",https://em-content.zobj.net/source/apple/391/footprints_1f463.png,
https://schema.org,Thing,supports,"Expresses endorsement, aid, or backing of an entity by another.",https://em-content.zobj.net/source/apple/391/hammer-and-wrench_1f6e0-fe0f.png,
https://schema.org,Thing,contributed to,"Indicates participation or input into a project or outcome.",https://em-content.zobj.net/source/apple/391/palms-up-together_1f932.png,
https://schema.org,Thing,verified,"Denotes that an entity has been authenticated or validated by another.",https://em-content.zobj.net/source/apple/391/check-mark_2714-fe0f.png,
https://schema.org,Thing,controls,"Suggests authority or influence over an entity.",https://em-content.zobj.net/source/apple/391/control-knobs_1f39b-fe0f.png,
https://schema.org,Thing,owns,"Represents ownership or possession of an entity by another.",https://em-content.zobj.net/source/apple/391/key_1f511.png,
https://schema.org,Thing,invested in,"Indicates financial or resource commitment by one entity to another, with the expectation of future returns or benefits.",https://em-content.zobj.net/source/apple/391/money-bag_1f4b0.png,
https://schema.org,Thing,sold,"Represents the transaction in which one entity transferred ownership of something to another in exchange for payment or consideration.",https://em-content.zobj.net/source/apple/391/dollar-banknote_1f4b5.png,
https://schema.org,Thing,is responsible for,"Reflects accountability or duty for a task or outcome.",https://em-content.zobj.net/source/apple/391/office-worker_1f9d1-200d-1f4bc.png,
https://schema.org,Thing,cited,"Indicates that one entity referenced or mentioned another in support.",https://em-content.zobj.net/source/apple/391/bookmark-tabs_1f4d1.png,
https://schema.org,Thing,is based on,"Denotes that something derives its foundation from another entity.",https://em-content.zobj.net/source/apple/391/link_1f517.png,
https://schema.org,Thing,uses,"Indicates utilization or employment of one entity by another.",https://em-content.zobj.net/source/apple/391/gear_2699-fe0f.png,
https://schema.org,Thing,backed by,"Denotes financial or moral support provided by another entity.",https://em-content.zobj.net/source/apple/391/shield_1f6e1-fe0f.png,
https://schema.org,Thing,participated in,"Indicates involvement or engagement in an event or activity.",https://em-content.zobj.net/source/apple/391/busts-in-silhouette_1f465.png,
https://schema.org,Thing,has expertise in,"Specifies an entity’s proficiency or knowledge in a certain area.",https://em-content.zobj.net/source/apple/391/graduation-cap_1f393.png,
https://schema.org,Thing,collaborates on,"Denotes joint effort by entities toward a shared project or goal.",https://em-content.zobj.net/source/apple/391/people-holding-hands_1f9d1-200d-1f91d-200d-1f9d1.png,
https://schema.org,Thing,oversees,"Denotes supervision or management of an entity by another.",https://em-content.zobj.net/source/apple/391/eyes_1f440.png,
https://schema.org,Thing,reviews,"Reflects evaluation or critique of an entity’s work or performance.",https://em-content.zobj.net/source/apple/391/memo_1f4dd.png,
https://schema.org,Thing,analyzed,"Represents examination or detailed study of an entity by another.",https://em-content.zobj.net/source/apple/391/magnifying-glass-tilted-left_1f50d.png,
https://schema.org,Thing,researched,"Denotes systematic investigation conducted by one entity on another.",https://em-content.zobj.net/source/apple/391/test-tube_1f9ea.png,
https://schema.org,Thing,completed,"Indicates the fulfillment or conclusion of a task or process.",https://em-content.zobj.net/source/apple/391/check-mark-button_2705.png,
https://schema.org,Thing,mentored,"Represents guidance or advice provided by one entity to another.",https://em-content.zobj.net/source/apple/391/man-teacher_1f468-200d-1f3eb.png,
https://schema.org,Thing,teaches,"Reflects the act of imparting knowledge or instruction to another entity.",https://em-content.zobj.net/source/apple/391/books_1f4da.png,
https://schema.org,Thing,is located in,"Specifies the geographic or digital location of an entity.",https://em-content.zobj.net/source/apple/391/round-pushpin_1f4cd.png,
https://schema.org,Thing,issued,"Represents that an entity has formally provided or distributed something.",https://em-content.zobj.net/source/apple/391/scroll_1f4dc.png,
https://schema.org,Thing,is influenced by,"Shows that one entity’s behavior or state has been affected by another.",https://em-content.zobj.net/source/apple/391/water-wave_1f30a.png,
https://schema.org,Thing,collaborates with,"Denotes active cooperation or joint effort between entities.",https://em-content.zobj.net/source/apple/391/handshake_1f91d.png,
https://schema.org,Thing,discussed,"Indicates that one entity conversed or deliberated with another on a subject.",https://em-content.zobj.net/source/apple/391/speech-balloon_1f4ac.png,
https://schema.org,Thing,contributed data to,"Denotes that an entity provided data or information to a system.",https://em-content.zobj.net/source/apple/391/card-index-dividers_1f5c2-fe0f.png,
https://schema.org,Thing,is part of,"Indicates that one entity is a component or subset of another.",https://em-content.zobj.net/source/apple/391/puzzle-piece_1f9e9.png,
https://schema.org,Thing,is associated with,"Establishes a general connection between two entities.",https://em-content.zobj.net/source/apple/391/link_1f517.png,
https://schema.org,Thing,is connected to,"Indicates a direct relationship or link between two entities.",https://em-content.zobj.net/source/apple/391/electric-plug_1f50c.png,
https://schema.org,Thing,engaged with,"Shows involvement or interaction between entities.",https://em-content.zobj.net/source/apple/391/speaking-head_1f5e3-fe0f.png,
https://schema.org,Thing,shares,"Indicates that one entity distributes or communicates something with others.",https://em-content.zobj.net/source/apple/391/counterclockwise-arrows-button_1f504.png,
https://schema.org,Thing,holds a stake in,"Indicates financial or vested interest in an entity by another.",https://em-content.zobj.net/source/apple/391/briefcase_1f4bc.png,
https://schema.org,Thing,has a relationship with,"Indicates a defined connection or interaction between entities.",https://em-content.zobj.net/source/apple/391/red-heart_2764-fe0f.png,
